Transmission time: 0.052000 ms, File size: 8000 bytes
Transmission time: 0.180000 ms, File size: 8000 bytes
Transmission time: 0.065000 ms, File size: 8000 bytes
Transmission time: 0.064000 ms, File size: 8000 bytes
Transmission time: 0.071000 ms, File size: 8000 bytes
Transmission time: 0.061000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.064000 ms, File size: 8000 bytes
Transmission time: 0.061000 ms, File size: 8000 bytes
Transmission time: 0.061000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.064000 ms, File size: 8000 bytes
Transmission time: 0.055000 ms, File size: 8000 bytes
Transmission time: 0.059000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.063000 ms, File size: 8000 bytes
Transmission time: 0.061000 ms, File size: 8000 bytes
Transmission time: 0.064000 ms, File size: 8000 bytes
Transmission time: 0.055000 ms, File size: 8000 bytes
Transmission time: 0.061000 ms, File size: 8000 bytes
Transmission time: 0.061000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.242000 ms, File size: 8000 bytes
Transmission time: 0.065000 ms, File size: 8000 bytes
Transmission time: 0.062000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
Transmission time: 0.063000 ms, File size: 8000 bytes
Transmission time: 0.055000 ms, File size: 8000 bytes
Transmission time: 0.054000 ms, File size: 8000 bytes
Transmission time: 0.060000 ms, File size: 8000 bytes
