Transmission time: 0.110000 ms, File size: 8000 bytes
Transmission time: 0.080000 ms, File size: 8000 bytes
Transmission time: 0.078000 ms, File size: 8000 bytes
Transmission time: 0.493000 ms, File size: 8000 bytes
Transmission time: 0.103000 ms, File size: 8000 bytes
Transmission time: 0.075000 ms, File size: 8000 bytes
Transmission time: 0.073000 ms, File size: 8000 bytes
Transmission time: 0.097000 ms, File size: 8000 bytes
Transmission time: 0.132000 ms, File size: 8000 bytes
Transmission time: 0.078000 ms, File size: 8000 bytes
Transmission time: 0.071000 ms, File size: 8000 bytes
Transmission time: 0.076000 ms, File size: 8000 bytes
Transmission time: 0.123000 ms, File size: 8000 bytes
Transmission time: 0.072000 ms, File size: 8000 bytes
Transmission time: 0.078000 ms, File size: 8000 bytes
Transmission time: 0.075000 ms, File size: 8000 bytes
Transmission time: 0.089000 ms, File size: 8000 bytes
Transmission time: 0.077000 ms, File size: 8000 bytes
Transmission time: 0.074000 ms, File size: 8000 bytes
Transmission time: 0.068000 ms, File size: 8000 bytes
Transmission time: 0.123000 ms, File size: 8000 bytes
Transmission time: 0.077000 ms, File size: 8000 bytes
Transmission time: 0.076000 ms, File size: 8000 bytes
Transmission time: 0.095000 ms, File size: 8000 bytes
Transmission time: 0.078000 ms, File size: 8000 bytes
Transmission time: 0.074000 ms, File size: 8000 bytes
Transmission time: 0.089000 ms, File size: 8000 bytes
Transmission time: 0.074000 ms, File size: 8000 bytes
Transmission time: 0.087000 ms, File size: 8000 bytes
Transmission time: 0.067000 ms, File size: 8000 bytes
Transmission time: 0.068000 ms, File size: 8000 bytes
Transmission time: 0.072000 ms, File size: 8000 bytes
